,Srno,RecipeName,TranslatedRecipeName,Ingredients,TranslatedIngredients,PrepTimeInMins,CookTimeInMins,TotalTimeInMins,Servings,Cuisine,Course,Diet,Instructions,TranslatedInstructions,URL,Calories
332,354,Stuffed Palak Paneer Paratha,Stuffed Palak Paneer Paratha,"2 cups Whole Wheat Flour,Water - as needed,Salt - a pinch,1 teaspoon Sunflower Oil,1 cup Paneer (Homemade Cottage Cheese) - grated/crumbled,2 cups Spinach Leaves (Palak) - finely chopped,2 tablespoons Kasuri Methi (Dried Fenugreek Leaves) - crushed,2 teaspoon Red Chilli powder,1/4 teaspoon Turmeric powder (Haldi),1 teaspoon Amchur (Dry Mango Powder),1 teaspoon Cumin powder (Jeera),Salt - to taste,Nutralite Classic Spread - to cook parathas","2 cups Whole Wheat Flour,Water - as needed,Salt - a pinch,1 teaspoon Sunflower Oil,1 cup Paneer (Homemade Cottage Cheese) - grated/crumbled,2 cups Spinach Leaves (Palak) - finely chopped,2 tablespoons Kasuri Methi (Dried Fenugreek Leaves) - crushed,2 teaspoon Red Chilli powder,1/4 teaspoon Turmeric powder (Haldi),1 teaspoon Amchur (Dry Mango Powder),1 teaspoon Cumin powder (Jeera),Salt - to taste,Nutralite Classic Spread - to cook parathas",30,50,80,4,Indian,breakfast,High Protein Vegetarian,"To begin making the Palak Paneer Paratha Recipe, knead a soft yet pliable dough using the ingredients listed in dough making and set aside for 20 minutes.Meanwhile, mix all the above ingredients mentioned in palak paneer filling section well. Give it a taste and adjust the salt and chilli accordingly.Next, divide the dough into equal portions and keep aside. Make the same portions of the palak paneer stuffing mixture and keep them aside.Roll out the paratha dough into a 3 inch diameter disc, place the palak paneer stuffing mixture in the centre and bring the edges of the paratha together and pinch to seal it.Dust the palak paneer paratha on dry flour and roll to make a large circle, ensuring that the filling does not come out. Stuff and roll the remaining portions of the paratha dough and palak paneer stuffing mixture the similar way.Once done, it's time to cook them. Preheat a tawa on medium heat, melt the Nutralite spread and place these stuffed palak paneer parathas on the pan. Cook these palak paneer parathas on both sides until browned and crisp.Serve Stuffed Palak Paneer Paratha along with Boondi Raita and Aam Ka Achaar for breakfast or for dinner.
","To begin making the Palak Paneer Paratha Recipe, knead a soft yet pliable dough using the ingredients listed in dough making and set aside for 20 minutes.Meanwhile, mix all the above ingredients mentioned in palak paneer filling section well. Give it a taste and adjust the salt and chilli accordingly.Next, divide the dough into equal portions and keep aside. Make the same portions of the palak paneer stuffing mixture and keep them aside.Roll out the paratha dough into a 3 inch diameter disc, place the palak paneer stuffing mixture in the centre and bring the edges of the paratha together and pinch to seal it.Dust the palak paneer paratha on dry flour and roll to make a large circle, ensuring that the filling does not come out. Stuff and roll the remaining portions of the paratha dough and palak paneer stuffing mixture the similar way.Once done, it's time to cook them. Preheat a tawa on medium heat, melt the Nutralite spread and place these stuffed palak paneer parathas on the pan. Cook these palak paneer parathas on both sides until browned and crisp.Serve Stuffed Palak Paneer Paratha along with Boondi Raita and Aam Ka Achaar for breakfast or for dinner.",http://www.archanaskitchen.com/palak-paneer-paratha-recipe,1794.5500000000002
342,366,Quick Masala French Toast Recipe,Quick Masala French Toast Recipe,"3 Whole Wheat Brown Bread,4 Whole Eggs,Sunflower Oil - or butter as required,2 tablespoons Milk,1 tablespoon Red Chilli flakes,Salt - as per your taste,3 sprig Coriander (Dhania) Leaves - finely chopped,1/4 tablespoon Black pepper powder,1 Onion - finely chopped,2 to 3 Green Chillies - finely chopped","3 Whole Wheat Brown Bread,4 Whole Eggs,Sunflower Oil - or butter as required,2 tablespoons Milk,1 tablespoon Red Chilli flakes,Salt - as per your taste,3 sprig Coriander (Dhania) Leaves - finely chopped,1/4 tablespoon Black pepper powder,1 Onion - finely chopped,2 to 3 Green Chillies - finely chopped",10,10,20,2,Continental,breakfast,Eggetarian,"To begin making the Quick Masala French Toast recipe, beat the eggs in a mixing bowl.Add milk, beat it again and make sure that it is mixed properly. Add chilli flakes, salt and black pepper.Once it is done, heat oil in a wide pan. Take a bread slice, dip it in the egg mixture and put it on the pan.Spread some onion, green chillies and coriander on the top of bread and pour some egg mixture on it again.Turn the bread and let the other side also cooked properly. Once it turns light brown in colour, take it out of the stove and it is ready to be served.Serve Quick Masala French Toast on its own with a cup of hot Espresso Coffee or Masala Tea for a filling breakfast.
","To begin making the Quick Masala French Toast recipe, beat the eggs in a mixing bowl.Add milk, beat it again and make sure that it is mixed properly. Add chilli flakes, salt and black pepper.Once it is done, heat oil in a wide pan. Take a bread slice, dip it in the egg mixture and put it on the pan.Spread some onion, green chillies and coriander on the top of bread and pour some egg mixture on it again.Turn the bread and let the other side also cooked properly. Once it turns light brown in colour, take it out of the stove and it is ready to be served.Serve Quick Masala French Toast on its own with a cup of hot Espresso Coffee or Masala Tea for a filling breakfast.",http://www.archanaskitchen.com/quick-masala-french-toast-recipe,2567.28
343,367,Kerala Style Tapioca with Coconut Curd Chutney Recipe,Kerala Style Tapioca with Coconut Curd Chutney Recipe,"1 kg Tapioca root,1 cup Fresh coconut - grated,4 to 5 Shallots,2 Green Chillies - chopped,1-1/2 cups Hung Curd (Greek Yogurt),Salt - to taste","1 kg Tapioca root,1 cup Fresh coconut - grated,4 to 5 Shallots,2 Green Chillies - chopped,1-1/2 cups Hung Curd (Greek Yogurt),Salt - to taste",5,60,65,4,Kerala Recipes,breakfast,Vegetarian,"To begin making the Tapioca With Coconut Curd Chutney recipe, firstly peel, cut and wash the tapioca well.Take lots of water in a saucepan and bring it to a boil. Add salt and add the tapioca pieces.Once tapioca pieces are cooked, drain the water.For the chutney, in a blender add coconut, green chilli and shallots and blend it finely.Add this mixture to sour curd and add salt and mix properly, season it well according to your palate. Serve the Tapioca With Coconut Curd Chutney as a snack or for a healthy and light breakfast along with Kerala Style Pazham Pori Recipe (Banana Fry) or Kerala Style Appam Recipe (Fermented Rice Pancakes With Coconut).
","To begin making the Tapioca With Coconut Curd Chutney recipe, firstly peel, cut and wash the tapioca well.Take lots of water in a saucepan and bring it to a boil. Add salt and add the tapioca pieces.Once tapioca pieces are cooked, drain the water.For the chutney, in a blender add coconut, green chilli and shallots and blend it finely.Add this mixture to sour curd and add salt and mix properly, season it well according to your palate. Serve the Tapioca With Coconut Curd Chutney as a snack or for a healthy and light breakfast along with Kerala Style Pazham Pori Recipe (Banana Fry) or Kerala Style Appam Recipe (Fermented Rice Pancakes With Coconut).",http://www.archanaskitchen.com/tapioca-with-coconut-curd-chutney-recipe,4324.13
380,406,Egg White Spinach Omelette Recipe With Garlic & Oregano,Egg White Spinach Omelette Recipe With Garlic & Oregano,"4 Whole Eggs - egg whites separated,1 Onion - finely chopped,50 grams Spinach - washed and finely chopped,2 Green Chillies - finely chopped,Salt and Pepper - to taste,1 teaspoon Nutralite Garlic & Oregano Spread","4 Whole Eggs - egg whites separated,1 Onion - finely chopped,50 grams Spinach - washed and finely chopped,2 Green Chillies - finely chopped,Salt and Pepper - to taste,1 teaspoon Nutralite Garlic & Oregano Spread",10,5,15,2,Continental,breakfast,Eggetarian,"To begin making the Egg White Spinach Omelette Recipe With Garlic & Oregano, get all the ingredients ready before you begin making the omelette.Since we are using whites from 4 eggs, this can at most serve 2 people of you plan to split the omelette into half or just about one large omelette for one person.If you are making this for more people, then you would need to make it in batches of similar quantity as mentioned in the above ingredient list. Take a large bowl, add all the ingredients together and whisk well with a fork until combined. The egg whites would have blended well and turned little fluffy.Preheat an 8 inch Omelette Skillet,  spoon the Nutralite Garlic & Oregano Spread in the skillet.Once the skillet is heated, pour the whisked egg white omelette mixture onto the skillet. Turn the heat to medium low, else the omelette will brown faster at the bottom than it can get cooked on the top.Once you notice the top of the Omelette begins to get cooked (you will know when the wetness has turned to dry), using a flat spatula, flip the omelette and cook the opposite side as well.Allow it to cook for a about a minute and once cooked well on both sides as per your preference, slide the omelette to the serving platter.Serve Egg White Spinach Omelette Recipe With Garlic & Oregano with with slices of buttered whole wheat bread, a glass of Carrot Pineapple Orange Juice Recipe or Cantaloupe (Melon) Juice Recipe for breakfast or for  an after school snack.
","To begin making the Egg White Spinach Omelette Recipe With Garlic & Oregano, get all the ingredients ready before you begin making the omelette.Since we are using whites from 4 eggs, this can at most serve 2 people of you plan to split the omelette into half or just about one large omelette for one person.If you are making this for more people, then you would need to make it in batches of similar quantity as mentioned in the above ingredient list. Take a large bowl, add all the ingredients together and whisk well with a fork until combined. The egg whites would have blended well and turned little fluffy.Preheat an 8 inch Omelette Skillet,  spoon the Nutralite Garlic & Oregano Spread in the skillet.Once the skillet is heated, pour the whisked egg white omelette mixture onto the skillet. Turn the heat to medium low, else the omelette will brown faster at the bottom than it can get cooked on the top.Once you notice the top of the Omelette begins to get cooked (you will know when the wetness has turned to dry), using a flat spatula, flip the omelette and cook the opposite side as well.Allow it to cook for a about a minute and once cooked well on both sides as per your preference, slide the omelette to the serving platter.Serve Egg White Spinach Omelette Recipe With Garlic & Oregano with with slices of buttered whole wheat bread, a glass of Carrot Pineapple Orange Juice Recipe or Cantaloupe (Melon) Juice Recipe for breakfast or for  an after school snack.",http://www.archanaskitchen.com/egg-white-omelette-recipe-with-spinach,360.94000000000005
387,413,Broken Wheat Upma Or Dalia Khichdi Recipe for Babies & Toddlers,Broken Wheat Upma Or Dalia Khichdi Recipe for Babies & Toddlers,"1/4 cup Broken Wheat (Dalia/ Godumai Rava),1/2 cup Water,Salt - as per your taste,1 Carrots (Gajjar) - finely chopped,1 teaspoon Ghee,1/4 teaspoon Mustard seeds,1/4 teaspoon Turmeric powder (Haldi),Curry leaves - a few","1/4 cup Broken Wheat (Dalia/ Godumai Rava),1/2 cup Water,Salt - as per your taste,1 Carrots (Gajjar) - finely chopped,1 teaspoon Ghee,1/4 teaspoon Mustard seeds,1/4 teaspoon Turmeric powder (Haldi),Curry leaves - a few",10,10,20,2,Indian,breakfast,Vegetarian,"To begin making Dalia Khichdi or Broken Wheat Upma for babies and toddlers, we have to first steam the finely chopped carrots. In a pressure cooker, add the chopped carrots along with  tablespoon of water. Pressure cook for 2 whistles and release the pressure immediately by running the cooker under water. Open the lid, take out the steamed carrots and keep aside. In the same pressure cooker, add dalia /broken wheat along with 1/2 cup water. Pressure cook on high for 3-4 whistles and lower the heat and leave it on low for 2 minutes. Turn off the flame and allow the pressure to release naturally. In a pan, add a teaspoon of ghee. Once the ghee is warm add mustard seeds. Once the mustard seeds sputter, add torn curry leaves to the pan along with 1/4 teaspoon of turmeric powder. Stir for a minute, and add in the steamed carrots. Mix well. Finally add the cooked dalia /broken wheat along with the required amount of salt and mix thoroughtly. Turn off the heat and your Dalia Khichdi or Broken Wheat Upma for babies and toddlers is ready to be fedServe this Dalia Khichdi to your babies and toddlers who are over the age of 10 months along with a cup of curd and chopped bananas on the side for breakfast or lunch. 
","To begin making Dalia Khichdi or Broken Wheat Upma for babies and toddlers, we have to first steam the finely chopped carrots. In a pressure cooker, add the chopped carrots along with  tablespoon of water. Pressure cook for 2 whistles and release the pressure immediately by running the cooker under water. Open the lid, take out the steamed carrots and keep aside. In the same pressure cooker, add dalia /broken wheat along with 1/2 cup water. Pressure cook on high for 3-4 whistles and lower the heat and leave it on low for 2 minutes. Turn off the flame and allow the pressure to release naturally. In a pan, add a teaspoon of ghee. Once the ghee is warm add mustard seeds. Once the mustard seeds sputter, add torn curry leaves to the pan along with 1/4 teaspoon of turmeric powder. Stir for a minute, and add in the steamed carrots. Mix well. Finally add the cooked dalia /broken wheat along with the required amount of salt and mix thoroughtly. Turn off the heat and your Dalia Khichdi or Broken Wheat Upma for babies and toddlers is ready to be fedServe this Dalia Khichdi to your babies and toddlers who are over the age of 10 months along with a cup of curd and chopped bananas on the side for breakfast or lunch. ",https://www.archanaskitchen.com/broken-wheat-upma-or-dalia-khichdi-recipe-for-babies-and-toddlers,216.51999999999995
395,422,पालक धनिया डोसा रेसिपी - Spinach And Coriander Dosa Recipe,Spinach Coriander Dosa Recipe - Spinach and Coriander Dosa Recipe,"3 कप चावल - रात भर भिगो दे,1 कप सफ़ेद उरद दाल - रात भर भिगो दे,1 छोटा चम्मच मेथी के दाने - रात भर भिगो दे,2 छोटे चम्मच नमक,100 ग्राम पालक - बारीक काट ले,हरा धनिया - थोड़ा,तेल - प्रयोग अनुसार","3 cups rice - soaked overnight, 1 cup white urad dal - soaked overnight, 1 tsp fenugreek seeds - soaked overnight, 2 tsp salt, 100 grams spinach - finely chopped, green coriander - little, Oil - as per use",10,45,55,5,South Indian Recipes,breakfast,High Protein Vegetarian,"पालक धनिया डोसा रेसिपी बनाने के लिए सबसे पहले भिगोई हुई उरद दाल को एक मिक्सर ग्राइंडर में डाले और पीस ले. थोड़ा पानी डाले और पेस्ट बना ले. अलग से निकाल ले.अब चावल को मिक्सर ग्राइंडर में पानी के साथ डाले, पीस ले और बैटर बना ले. ध्यान रखें ज्यादा पानी न डाले। अब उरद दाल बैटर और चावल के बैटर को मिलाए, नमक डाले और 12 घंटे के लिए अलग से रख दे. अब पालक और धनिया को एक मिक्सर ग्राइंडर में डाले और पीस कर पेस्ट बना ले. अलग से रख दे. अब इसमें पानी डाले और गाढ़ा बैटर बना ले. ध्यान रखें ज्यादा पानी डालकर एक दम पतला न बनाए। मिलाए और अलग से रख दे. अब एक तवा गरम करें। इस पर थोड़ा तेल डाले और टिशु से पॉच ले. तवे के गरम होने के बाद इस पर एक बड़ा चमच्च डोसा मिश्रण डाले और बिच में से बहार की तरफ फैलाए। गोल आकार का डोसा बना ले.1 छोटा चमच्च तेल या घी दोसे के चारो तरफ डाले और गैस की आंच तेज कर ले. निचे से सुनहरा होने तक पकाए और फिर उसे चमच्च की मदद से पलट दे. दूसरी तरफ भी सुनहरा होने तक पकाए और गरमा गरम परोसे। पालक धनिया डोसा रेसिपी को नारियल की चटनी और फ़िल्टर कॉफ़ी के साथ सुबह के नाश्ते के लिए परोसे।
","To make the spinach coriander dosa recipe, first put the soaked urad dal in a mixer grinder and grind it. Add some water and make a paste. Take it out separately. Now put rice in a mixer grinder with water, grind it and make batter. Take care not to add too much water. Now mix urad dal batter and rice batter, add salt and keep it aside for 12 hours. Now put the spinach and coriander in a mixer grinder and grind it into a paste. Keep it aside. Now add water and make a thick batter. Take care not to add too much water and make it thin. Mix and keep aside. Now heat a griddle. Pour some oil over it and poach it with a tissue. After the tava is hot, add a tablespoon of dosa mixture and spread it from the middle to the outside. Make a dosa of round shape. Pour 1 teaspoon of oil or ghee around the dosa and turn the flame on high. Cook until it turns golden in color and then flip it with the help of a spoon. Cook on the other side as well until golden and serve hot. Serve the spinach coriander dosa recipe with coconut chutney and filter coffee for breakfast.",https://www.archanaskitchen.com/spinach-and-coriander-dosa-recipe-in-hindi,998.46
397,425,Akoori with Green Peas Recipe (Parsi Style Scrambled Eggs with Green Peas),Akoori with Green Peas Recipe (Parsi Style Scrambled Eggs with Green Peas),"7 Whole Eggs,1/2 cup Green peas (Matar),2 Onions - finely chopped,4 Tomatoes - finely chopped,2 Green Chillies - finely chopped,1 teaspoon Ginger Garlic Paste,1 teaspoon Turmeric powder (Haldi),1 teaspoon Curry powder,1 teaspoon Red Chilli powder,3 tablespoons Coriander (Dhania) Leaves - finely chopped,2 teaspoons Sunflower Oil,1 teaspoon Lemon juice,1 teaspoon Ginger - juliennes for garnish,Salt - to taste","7 Whole Eggs,1/2 cup Green peas (Matar),2 Onions - finely chopped,4 Tomatoes - finely chopped,2 Green Chillies - finely chopped,1 teaspoon Ginger Garlic Paste,1 teaspoon Turmeric powder (Haldi),1 teaspoon Curry powder,1 teaspoon Red Chilli powder,3 tablespoons Coriander (Dhania) Leaves - finely chopped,2 teaspoons Sunflower Oil,1 teaspoon Lemon juice,1 teaspoon Ginger - juliennes for garnish,Salt - to taste",5,10,15,4,Parsi Recipes,breakfast,Eggetarian,"To begin making Akoori with Green Peas Recipe, heat oil in a pan add the chopped onions, ginger garlic paste and saute till onions turn translucent.Add the green chillies, tomatoes and saute for 2 minutes.Add the green peas, turmeric, red chilli, curry powder, and saute until the peas are cooked well.Now, whisk eggs in a big bowl till it becomes fluffy.Add this to the pan, season with salt and saute to make runny scrambled eggs.Switch off the flame, add the coriander leaves, lemon juice, and mix well.Garnish with ginger juliennes and serve hot.Serve the Akoori with Green Peas Recipe (Parsi Style Scrambled Eggs with Green Peas) along with toasted bread or pav along and Masala chai for breakfast.
","To begin making Akoori with Green Peas Recipe, heat oil in a pan add the chopped onions, ginger garlic paste and saute till onions turn translucent.Add the green chillies, tomatoes and saute for 2 minutes.Add the green peas, turmeric, red chilli, curry powder, and saute until the peas are cooked well.Now, whisk eggs in a big bowl till it becomes fluffy.Add this to the pan, season with salt and saute to make runny scrambled eggs.Switch off the flame, add the coriander leaves, lemon juice, and mix well.Garnish with ginger juliennes and serve hot.Serve the Akoori with Green Peas Recipe (Parsi Style Scrambled Eggs with Green Peas) along with toasted bread or pav along and Masala chai for breakfast.",https://www.archanaskitchen.com/akoori-with-green-peas-recipe-parsi-style-scrambled-eggs-with-green-peas,881.6900000000002
400,429,Indian Beaten Coffee Recipe | Dalgona Coffee,Indian Beaten Coffee Recipe | Dalgona Coffee,"2 tablespoons Instant Coffee Powder,2 tablespoons Sugar,2 tablespoons Water,3/4 cup Milk - chilled,Cinnamon Powder (Dalchini) - a pinch to garnish,Instant Coffee Powder - a pinch to garnish","2 tablespoons Instant Coffee Powder,2 tablespoons Sugar,2 tablespoons Water,3/4 cup Milk - chilled,Cinnamon Powder (Dalchini) - a pinch to garnish,Instant Coffee Powder - a pinch to garnish",5,0,5,1,North Indian Recipes,breakfast,Vegetarian,"To begin making the Indian Beaten Coffee/ Dalgona Coffee, in a medium mixing bowl add the instant coffee powder, sugar and hot water. Using the hand mixer with the whisk attachment, beat the coffee for 3 to 4 minutes until you get a whipped cream with stiff peak consistency. Once the coffee gets a stiff cream consistency, stop whisking and keep aside.You can make it either hot or cold, but using hot milk or cold milk. If you are planning to have it hot, then warm some milk in a sauce pan and bring to a brisk boil.Pour this milk into the coffee cup until 3/4th full. Spoon the whipped coffee cream over the milk and sprinkle cinnamon or coffee powder over it and serve immediately.If you are planning to have it cold, then add a few ice cubed to the bottom of the coffee cup, pour the chilled milk into the coffee cup until 3/4th full.Spoon the whipped coffee cream over the milk and sprinkle cinnamon or coffee powder over it and serve immediately.When you drink the Indian Beaten Coffee/ Dalgona Coffee , you can give the whipped cream a light stir into the milk and enjoy the creaminess along with subtle flavours of coffee which will seep into the milk.Serve Indian Beaten Coffee/ Dalgona Coffee along with Atta Biscuit during your coffee break.
","To begin making the Indian Beaten Coffee/ Dalgona Coffee, in a medium mixing bowl add the instant coffee powder, sugar and hot water. Using the hand mixer with the whisk attachment, beat the coffee for 3 to 4 minutes until you get a whipped cream with stiff peak consistency. Once the coffee gets a stiff cream consistency, stop whisking and keep aside.You can make it either hot or cold, but using hot milk or cold milk. If you are planning to have it hot, then warm some milk in a sauce pan and bring to a brisk boil.Pour this milk into the coffee cup until 3/4th full. Spoon the whipped coffee cream over the milk and sprinkle cinnamon or coffee powder over it and serve immediately.If you are planning to have it cold, then add a few ice cubed to the bottom of the coffee cup, pour the chilled milk into the coffee cup until 3/4th full.Spoon the whipped coffee cream over the milk and sprinkle cinnamon or coffee powder over it and serve immediately.When you drink the Indian Beaten Coffee/ Dalgona Coffee , you can give the whipped cream a light stir into the milk and enjoy the creaminess along with subtle flavours of coffee which will seep into the milk.Serve Indian Beaten Coffee/ Dalgona Coffee along with Atta Biscuit during your coffee break.",https://www.archanaskitchen.com/espresso-coffee-recipe-homemade-no-machine-espresso-coffee,210.44
411,441,Left Over Vadai Upma Recipe,Left Over Vadai Upma Recipe,"6 Medu vada,1 tablespoon Ginger - finely chopped,2 Green Chillies - finely chopped,1 Onion - finely chopped,1 pinch Asafoetida (hing),1/2 teaspoon Mustard seeds,1/2 teaspoon Chana dal (Bengal Gram Dal),1 Dry Red Chilli,1 sprig Curry leaves,1 sprig Coriander (Dhania) Leaves,Salt - to taste,Sunflower Oil - as required","6 Medu vada,1 tablespoon Ginger - finely chopped,2 Green Chillies - finely chopped,1 Onion - finely chopped,1 pinch Asafoetida (hing),1/2 teaspoon Mustard seeds,1/2 teaspoon Chana dal (Bengal Gram Dal),1 Dry Red Chilli,1 sprig Curry leaves,1 sprig Coriander (Dhania) Leaves,Salt - to taste,Sunflower Oil - as required",0,15,15,4,South Indian Recipes,breakfast,Vegetarian,"To begin making the Left Over Vadai Upma recipe, you can either use ready made medu vadas or make them at home b y following this recipe- Medu Vada Recipe (Traditional Fried Urad Dal Vada Using Vada Maker). Break the vadas with your hands and make it appear like crumbs. Heat a wok/kadhai on medium flame, add the oil, once the oil is hot, add hing, mustard seeds, bengal gram dal, red chilli and saute well. Add green chillies, onions and let it fry for a minute. Add onion, salt, turmeric and let it cook well.Add curry leaves and let it cook for a minute. Add the crumbled vadai and mix well. Let it cook well for 2 to 3 minutes. Garnish with coriander leaves.Serve Left Over Vadai Upma with South Indian Coconut Chutney for breakfast and a cup of Bellada Coffee Recipe With Milk (Karnataka Style Filter Coffee With Jaggery).
","To begin making the Left Over Vadai Upma recipe, you can either use ready made medu vadas or make them at home b y following this recipe- Medu Vada Recipe (Traditional Fried Urad Dal Vada Using Vada Maker). Break the vadas with your hands and make it appear like crumbs. Heat a wok/kadhai on medium flame, add the oil, once the oil is hot, add hing, mustard seeds, bengal gram dal, red chilli and saute well. Add green chillies, onions and let it fry for a minute. Add onion, salt, turmeric and let it cook well.Add curry leaves and let it cook for a minute. Add the crumbled vadai and mix well. Let it cook well for 2 to 3 minutes. Garnish with coriander leaves.Serve Left Over Vadai Upma with South Indian Coconut Chutney for breakfast and a cup of Bellada Coffee Recipe With Milk (Karnataka Style Filter Coffee With Jaggery).",http://www.archanaskitchen.com/left-over-vadai-upma-recipe,1557.53
421,452,मसाला डोसा रेसिपी लाल चटनी के साथ - Masala Dosa With Red Chutney Recipe,Masala Dosa Recipe With Red Chutney - Masala Dosa With Red Chutney Recipe,"3-1/2 कप इडली डोसा मिश्रण,तेल - प्रयोग अनुसार,1/2 छोटा चम्मच चाट मसाला पाउडर,1-1/2 कप आलू मसाला,लहसुन चटनी - प्रयोग अनुसार,2 कप आलू - उबालकर मैश कर ले,1 कप प्याज - सीधे और पतले काट ले,1 छोटा चम्मच अदरक - कस ले,2 हरी मिर्च - बारीक काट ले,1/4 छोटा चम्मच हल्दी पाउडर,6 कढ़ी पत्ता - बारीक काट ले,हरा धनिया - थोड़ा,नमक - स्वाद अनुसार","3-1 / 2 cup idli dosa mixture, oil - as per use, 1/2 tsp chaat masala powder, 1-1 / 2 cup potato masala, garlic chutney - as per use, 2 cups potato - boiled and mashed, 1 cup Onion - cut straight and thin, 1 tsp ginger - tighten, 2 green chillies - finely chopped, 1/4 tsp turmeric powder, 6 curry leaves - finely chopped, coriander - little, salt - as per taste",10,45,55,4,South Indian Recipes,breakfast,Vegetarian,"मसाला डोसा रेसिपी लाल चटनी के साथ बनाने के लिए सबसे पहले हम डोसे के लिए आलू का मसाला बनाएंगे। एक कढ़ाई में तेल गरम कर ले. इसमें राइ, उरद दाल, चना दाल डाले और हल्का भूरा होने तक पका ले. भूरा होने के बाद इसमें अदरक, प्याज, कढ़ी पत्ता, हरी मिर्च, हींग डाले और प्याज के नरम होने तक पका ले. प्याज के नरम होने के बाद इसमें हल्दी पाउडर, नमक, आलू डाले और अच्छी तरह से मिला ले. कढ़ाई को ढके, आंच धीमी करें और 3 से 4 मिनट तक पकने दे. गैस बंद करें और अलग से रख दे. अब डोसा बनाने के लिए, एक तवा गरम करें। इस पर डोसा का मिश्रण डाले और चम्मच के पीछे से पहला कर गोल गोल डोसा बना ले. डोसे के चारो तरफ तेल डाले और कुछ सेकण्ड्स के लिए पकने दे. इसपर थोड़ी सी चटनी लगाए और इसके ऊपर आलू का मसाला डाले। पक जाने के बाद डोसे को फोल्ड करें और परोसे। मसाला डोसा रेसिपी लाल चटनी के साथ को नारियल की चटनी और फ़िल्टर कॉफ़ी के साथ सुबह के नाश्ते के लिए परोसे.
","To make Masala Dosa recipe with red chutney, we will first make potato masala for dosa. Heat the oil in a pan. Add the mustard seeds, urad dal, chana dal and cook till it becomes light brown. After getting brown, add ginger, onion, curry leaves, green chillies, asafoetida and cook till the onion becomes soft. After the onion becomes soft, add turmeric powder, salt, potatoes and mix it well. Cover the pan, reduce the flame and let it cook for 3 to 4 minutes. Turn off the gas and keep it aside. Now to make the dosa, heat a tawa. Pour the mixture of dosa on it and make a round dosa from the back of the spoon. Pour oil around the dosa and let it cook for a few seconds. Put some sauce on it and put potato masala over it. After cooking, fold the dosa and serve. Masala Dosa recipe with red chutney served with coconut chutney and filter coffee for breakfast.",http://www.archanaskitchen.com/soft-masala-dosa-with-red-chutney-recipe-in-hindi,2069.67
422,453,Palak (Spinach) Puri Recipe,Palak (Spinach) Puri Recipe,"1 cup Whole Wheat Flour,20 Spinach Leaves (Palak) - chopped,1/4 inch Ginger - peeled and chopped,1 Green Chilli - chopped,1 teaspoon Cumin powder (Jeera),1 tablespoon Water,2 tablespoon Sunflower Oil - more to deep fry","1 cup Whole Wheat Flour,20 Spinach Leaves (Palak) - chopped,1/4 inch Ginger - peeled and chopped,1 Green Chilli - chopped,1 teaspoon Cumin powder (Jeera),1 tablespoon Water,2 tablespoon Sunflower Oil - more to deep fry",20,25,45,3,Indian,breakfast,Vegetarian,"To begin with the Palak Puri Recipe, first chop spinach, ginger and green chilies and boil them together.After boiling strain the water and leave it aside for 15 minutes till the water is drained.After cooling, take the boiled contents from the strainer and add to a mixer and make a thin puree. Do not add water, just make a puree.Now in a mixing bowl add Vivatta whole wheat flour and the prepared pure, add some oil to the flour, cumin powder and salt. Mix them to together to make dough.Do not add excess water as palak will release water on its own. Now cover the dough with a muslin cloth and keep it aside for 30 minutes.After 30 minutes again, mould the dough and make small marble sized balls.Make small balls out of the dough and dust the rolling table with whole wheat flour and flatten the puris with the rolling pin. See to that you make small thick size round out of the dough.As you have rolled all the dough now, heat a Kadai and add oil. When oil gets heated, gently add a flattened puri.Using a frying spoon or slotted spoon gently press the puri, put some hot oil on top and move in a circular way.You will notice that the puri gets puffed and rises up. At this point, turn it to the other side and fry till it turns golden brown. Do not keep the puri in oil for more than 2 Minutes else it will become brittle.Drain it on kitchen towel.Continue the deep frying process for all the other flattened puris.Serve Palak Puris with Lahori Aloo and any raita of your choice.
","To begin with the Palak Puri Recipe, first chop spinach, ginger and green chilies and boil them together.After boiling strain the water and leave it aside for 15 minutes till the water is drained.After cooling, take the boiled contents from the strainer and add to a mixer and make a thin puree. Do not add water, just make a puree.Now in a mixing bowl add Vivatta whole wheat flour and the prepared pure, add some oil to the flour, cumin powder and salt. Mix them to together to make dough.Do not add excess water as palak will release water on its own. Now cover the dough with a muslin cloth and keep it aside for 30 minutes.After 30 minutes again, mould the dough and make small marble sized balls.Make small balls out of the dough and dust the rolling table with whole wheat flour and flatten the puris with the rolling pin. See to that you make small thick size round out of the dough.As you have rolled all the dough now, heat a Kadai and add oil. When oil gets heated, gently add a flattened puri.Using a frying spoon or slotted spoon gently press the puri, put some hot oil on top and move in a circular way.You will notice that the puri gets puffed and rises up. At this point, turn it to the other side and fry till it turns golden brown. Do not keep the puri in oil for more than 2 Minutes else it will become brittle.Drain it on kitchen towel.Continue the deep frying process for all the other flattened puris.Serve Palak Puris with Lahori Aloo and any raita of your choice.",http://www.archanaskitchen.com/palak-spinach-puri-recipe,1898.15
